,sql_id,username,record_id,code
0,746,tianyi,record_id_x,B
1,746,tianyi,record_id_x,L
2,746,tianyi,record_id_x,F
3,746,tianyi,record_id_x,A
4,746,tianyi,record_id_x,N
5,746,tianyi,record_id_x,C
6,746,tianyi,record_id_x,E
7,1088,tianyi,record_id_x,B
8,1088,tianyi,record_id_x,L
9,1088,tianyi,record_id_x,F
10,1088,tianyi,record_id_x,E
11,1088,tianyi,record_id_x,A
12,1088,tianyi,record_id_x,N
13,1088,tianyi,record_id_x,C
14,1317,tianyi,record_id_x,B
15,1317,tianyi,record_id_x,L
16,1317,tianyi,record_id_x,E
17,1317,tianyi,record_id_x,F
18,548,tianyi,record_id_x,B
19,548,tianyi,record_id_x,L
20,548,tianyi,record_id_x,E
21,548,tianyi,record_id_x,F
22,548,tianyi,record_id_x,D
23,159,tianyi,record_id_x,K
24,159,tianyi,record_id_x,D
25,375,tianyi,record_id_x,L
26,375,tianyi,record_id_x,F
27,375,tianyi,record_id_x,C
28,375,tianyi,record_id_x,K
29,1064,tianyi,record_id_x,L
30,1064,tianyi,record_id_x,F
31,1064,tianyi,record_id_x,D
32,1064,tianyi,record_id_x,C
33,1217,tianyi,record_id_x,F
34,1217,tianyi,record_id_x,D
35,930,tianyi,record_id_x,F
36,930,tianyi,record_id_x,D
37,1220,tianyi,record_id_x,A
38,1220,tianyi,record_id_x,P
39,1220,tianyi,record_id_x,D
40,745,tianyi,record_id_x,F
41,745,tianyi,record_id_x,B
42,745,tianyi,record_id_x,L
43,745,tianyi,record_id_x,A
44,745,tianyi,record_id_x,N
45,612,tianyi,record_id_x,A
46,612,tianyi,record_id_x,F
47,612,tianyi,record_id_x,B
48,612,tianyi,record_id_x,L
49,612,tianyi,record_id_x,N
50,712,tianyi,record_id_x,A
51,831,tianyi,record_id_x,F
52,831,tianyi,record_id_x,A
53,831,tianyi,record_id_x,N
54,1377,tianyi,record_id_x,L
55,1377,tianyi,record_id_x,F
56,1377,tianyi,record_id_x,A
57,1377,tianyi,record_id_x,N
58,1247,tianyi,record_id_x,L
59,1247,tianyi,record_id_x,B
60,1247,tianyi,record_id_x,D
61,707,tianyi,record_id_x,B
62,707,tianyi,record_id_x,L
63,707,tianyi,record_id_x,N
64,562,tianyi,record_id_x,B
65,562,tianyi,record_id_x,L
66,562,tianyi,record_id_x,N
67,562,tianyi,record_id_x,D
68,982,tianyi,record_id_x,B
69,982,tianyi,record_id_x,L
70,982,tianyi,record_id_x,N
71,853,tianyi,record_id_x,D
72,853,tianyi,record_id_x,B
73,853,tianyi,record_id_x,N
74,836,tianyi,record_id_x,B
75,836,tianyi,record_id_x,L
76,836,tianyi,record_id_x,D
77,697,tianyi,record_id_x,B
78,697,tianyi,record_id_x,N
79,697,tianyi,record_id_x,C
80,697,tianyi,record_id_x,L
81,1389,tianyi,record_id_x,D
82,1389,tianyi,record_id_x,B
83,1389,tianyi,record_id_x,N
84,1389,tianyi,record_id_x,C
85,1389,tianyi,record_id_x,L
86,786,tianyi,record_id_x,D
87,786,tianyi,record_id_x,N
88,528,tianyi,record_id_x,A
89,528,tianyi,record_id_x,C
90,528,tianyi,record_id_x,E
91,528,tianyi,record_id_x,N
92,425,tianyi,record_id_x,A
93,425,tianyi,record_id_x,C
94,425,tianyi,record_id_x,E
95,425,tianyi,record_id_x,N
96,769,tianyi,record_id_x,B
97,769,tianyi,record_id_x,L
98,769,tianyi,record_id_x,A
99,769,tianyi,record_id_x,N
100,769,tianyi,record_id_x,E
101,1092,tianyi,record_id_x,D
102,1092,tianyi,record_id_x,B
103,1092,tianyi,record_id_x,L
104,704,tianyi,record_id_x,D
105,457,tianyi,record_id_x,F
106,457,tianyi,record_id_x,D
107,646,tianyi,record_id_x,B
108,646,tianyi,record_id_x,L
109,646,tianyi,record_id_x,F
110,646,tianyi,record_id_x,K
111,1269,tianyi,record_id_x,B
112,1269,tianyi,record_id_x,L
113,1269,tianyi,record_id_x,K
114,1269,tianyi,record_id_x,A
115,1093,tianyi,record_id_x,K
116,1093,tianyi,record_id_x,A
117,1093,tianyi,record_id_x,B
118,1093,tianyi,record_id_x,F
119,211,tianyi,record_id_x,L
120,211,tianyi,record_id_x,B
121,211,tianyi,record_id_x,F
122,694,tianyi,record_id_x,B
123,694,tianyi,record_id_x,N
124,694,tianyi,record_id_x,L
125,238,tianyi,record_id_x,B
126,238,tianyi,record_id_x,N
127,238,tianyi,record_id_x,D
128,820,tianyi,record_id_x,B
129,820,tianyi,record_id_x,N
130,820,tianyi,record_id_x,D
131,475,tianyi,record_id_x,B
132,475,tianyi,record_id_x,N
133,475,tianyi,record_id_x,F
134,1045,tianyi,record_id_x,B
135,1045,tianyi,record_id_x,L
136,1045,tianyi,record_id_x,D
137,1045,tianyi,record_id_x,F
138,868,tianyi,record_id_x,B
139,868,tianyi,record_id_x,L
140,868,tianyi,record_id_x,D
141,1325,tianyi,record_id_x,E
142,1325,tianyi,record_id_x,B
143,1325,tianyi,record_id_x,D
144,1291,tianyi,record_id_x,C
145,1291,tianyi,record_id_x,E
146,1291,tianyi,record_id_x,B
147,1356,tianyi,record_id_x,C
148,1356,tianyi,record_id_x,E
149,1356,tianyi,record_id_x,D
150,1214,tianyi,record_id_x,D
151,584,tianyi,record_id_x,B
152,584,tianyi,record_id_x,L
153,584,tianyi,record_id_x,D
154,1170,tianyi,record_id_x,B
155,1170,tianyi,record_id_x,E
156,978,tianyi,record_id_x,B
157,978,tianyi,record_id_x,L
158,978,tianyi,record_id_x,E
159,978,tianyi,record_id_x,F
160,1251,tianyi,record_id_x,K
161,1251,tianyi,record_id_x,A
162,1251,tianyi,record_id_x,F
163,1251,tianyi,record_id_x,B
164,471,tianyi,record_id_x,C
165,471,tianyi,record_id_x,L
166,471,tianyi,record_id_x,K
167,471,tianyi,record_id_x,A
168,471,tianyi,record_id_x,F
169,380,tianyi,record_id_x,C
170,380,tianyi,record_id_x,L
171,380,tianyi,record_id_x,D
172,1250,tianyi,record_id_x,D
173,1250,tianyi,record_id_x,B
174,1250,tianyi,record_id_x,N
175,883,tianyi,record_id_x,F
176,1326,tianyi,record_id_x,A
177,1326,tianyi,record_id_x,B
178,1326,tianyi,record_id_x,E
179,1016,tianyi,record_id_x,F
180,1016,tianyi,record_id_x,A
181,1016,tianyi,record_id_x,N
182,1169,tianyi,record_id_x,B
183,1169,tianyi,record_id_x,E
184,1169,tianyi,record_id_x,F
185,1169,tianyi,record_id_x,C
186,1392,tianyi,record_id_x,D
187,1392,tianyi,record_id_x,B
188,1392,tianyi,record_id_x,E
189,134,tianyi,record_id_x,L
190,134,tianyi,record_id_x,D
191,360,tianyi,record_id_x,L
192,360,tianyi,record_id_x,B
193,1043,tianyi,record_id_x,C
194,1043,tianyi,record_id_x,L
195,1043,tianyi,record_id_x,D
196,1058,tianyi,record_id_x,C
197,1058,tianyi,record_id_x,L
198,1058,tianyi,record_id_x,D
199,1058,tianyi,record_id_x,F
200,652,tianyi,record_id_x,C
201,652,tianyi,record_id_x,L
202,652,tianyi,record_id_x,F
203,847,tianyi,record_id_x,C
204,847,tianyi,record_id_x,L
205,847,tianyi,record_id_x,B
206,847,tianyi,record_id_x,F
207,1067,tianyi,record_id_x,B
208,1067,tianyi,record_id_x,L
209,1067,tianyi,record_id_x,F
210,1067,tianyi,record_id_x,C
211,994,tianyi,record_id_x,C
212,994,tianyi,record_id_x,L
213,994,tianyi,record_id_x,B
214,994,tianyi,record_id_x,E
215,994,tianyi,record_id_x,F
